Username,Profile URL,GitHub ID,Year_Group,Public_Repositories,Lifetime_Commits
jawaidakhter,https://github.com/jawaidakhter,1271330,2011-12,19,43
sharique-abdullah,https://github.com/sharique-abdullah,1242947,2011-12,0,0
mohammed52,https://github.com/mohammed52,1243755,2011-12,33,4232
sqm-cyberian-pk,https://github.com/sqm-cyberian-pk,1284565,2011-12,0,0
zeeshanhanif,https://github.com/zeeshanhanif,1311782,2012-01,123,N/A
mmmovania,https://github.com/mmmovania,1354859,2012-01,65,1410
rafayali,https://github.com/rafayali,1373965,2012-01,9,346
shakirmengrani,https://github.com/shakirmengrani,1317909,2012-01,83,329
hussainmuzzamil,https://github.com/hussainmuzzamil,1318199,2012-01,57,208
smshahrukh,https://github.com/smshahrukh,1366929,2012-01,24,46
ZainShaikh,https://github.com/ZainShaikh,1320981,2012-01,3,8
talib570,https://github.com/talib570,1312325,2012-01,45,102
kashifrehmanarain,https://github.com/kashifrehmanarain,1313308,2012-01,37,78
arifansari,https://github.com/arifansari,1378943,2012-01,14,31
questshahzad,https://github.com/questshahzad,1333059,2012-01,1,0
gahmed,https://github.com/gahmed,1333049,2012-01,1,0
tajwer,https://github.com/tajwer,1378151,2012-01,4,3
aalian-noman,https://github.com/aalian-noman,1352766,2012-01,0,0
noorain-raza,https://github.com/noorain-raza,1327644,2012-01,0,0
hussainahmedk,https://github.com/hussainahmedk,1456267,2012-02,0,0
faizkalwar,https://github.com/faizkalwar,1422929,2012-02,0,0
shehzadali,https://github.com/shehzadali,1410091,2012-02,3,2
h4hammad,https://github.com/h4hammad,1410596,2012-02,0,0
webwizo,https://github.com/webwizo,1593953,2012-03,54,165
shaheerakhlaq,https://github.com/shaheerakhlaq,1546790,2012-03,7,39
mkhurramali,https://github.com/mkhurramali,1565155,2012-03,2,1
asif-v7i,https://github.com/asif-v7i,1506396,2012-03,1,6
wajahatrashid98,https://github.com/wajahatrashid98,1497149,2012-03,2,0
capripio,https://github.com/capripio,1550432,2012-03,6,3
hassaan1,https://github.com/hassaan1,1528348,2012-03,3,2
ashokekumar,https://github.com/ashokekumar,1584355,2012-03,21,46
Kashif-Ahmed,https://github.com/Kashif-Ahmed,1571134,2012-03,0,0
soheb6,https://github.com/soheb6,1528354,2012-03,3,1
utalha,https://github.com/utalha,1555402,2012-03,1,1
srehanuddin,https://github.com/srehanuddin,1668868,2012-04,62,420
zaidpirwani,https://github.com/zaidpirwani,1651976,2012-04,72,157
rashidbilgrami,https://github.com/rashidbilgrami,1667625,2012-04,4,32
EjaadTech,https://github.com/EjaadTech,1655571,2012-04,18,N/A
m-saifuddin,https://github.com/m-saifuddin,1644046,2012-04,9,56
whsheikh101,https://github.com/whsheikh101,1682527,2012-04,8,30
waleedkhan,https://github.com/waleedkhan,1643068,2012-04,0,0
a-samad,https://github.com/a-samad,1659847,2012-04,6,5
aubykhan,https://github.com/aubykhan,1756496,2012-05,37,142
mahmoodayaz7,https://github.com/mahmoodayaz7,1766248,2012-05,82,460
firdousali86,https://github.com/firdousali86,1745827,2012-05,70,626
SamiSdd,https://github.com/SamiSdd,1784844,2012-05,8,12
alidsd,https://github.com/alidsd,1798225,2012-05,0,0
arbabalikhan,https://github.com/arbabalikhan,1763606,2012-05,4,1
AffanHasan,https://github.com/AffanHasan,1730485,2012-05,46,346
adilabbasi,https://github.com/adilabbasi,1756362,2012-05,10,16
rahilwazir,https://github.com/rahilwazir,1818941,2012-06,85,1539
mysteryjeans,https://github.com/mysteryjeans,1826883,2012-06,25,1193
mohaqqani,https://github.com/mohaqqani,1823775,2012-06,19,100
msaqibansari,https://github.com/msaqibansari,1847416,2012-06,8,2
HabibAliAtFolio3,https://github.com/HabibAliAtFolio3,1871325,2012-06,13,36
spydev,https://github.com/spydev,1819545,2012-06,3,4
saadullahkhan,https://github.com/saadullahkhan,1895394,2012-06,4,1026
xKodex,https://github.com/xKodex,1885173,2012-06,4,9
umairazfar,https://github.com/umairazfar,2038947,2012-07,33,247
faisalferoz,https://github.com/faisalferoz,1998777,2012-07,54,24
mazib,https://github.com/mazib,2055231,2012-07,10,42
ehsanrashid,https://github.com/ehsanrashid,2037995,2012-07,15,3200
HabibAli,https://github.com/HabibAli,1933835,2012-07,6,29
sp3tsnaz,https://github.com/sp3tsnaz,2050194,2012-07,26,25
shahabejaz,https://github.com/shahabejaz,1955460,2012-07,27,90
muneebrbaig,https://github.com/muneebrbaig,1953315,2012-07,26,97
umairfriends11,https://github.com/umairfriends11,2025883,2012-07,2,4
faisalrahman36,https://github.com/faisalrahman36,2101520,2012-08,65,279
logicware,https://github.com/logicware,2248704,2012-08,21,73
doozielabs,https://github.com/doozielabs,2124725,2012-08,8,N/A
syadeem,https://github.com/syadeem,2151580,2012-08,7,25
KamranShahid,https://github.com/KamranShahid,2170442,2012-08,7,0
daniyalmi,https://github.com/daniyalmi,2154175,2012-08,0,0
riksofltd,https://github.com/riksofltd,2116351,2012-08,0,0
uzmahashmi,https://github.com/uzmahashmi,2191145,2012-08,0,0
Muhammad-Mohsin,https://github.com/Muhammad-Mohsin,2202010,2012-08,0,0
abidansari,https://github.com/abidansari,2210858,2012-08,2,1
Shahzeb-NED,https://github.com/Shahzeb-NED,2178520,2012-08,0,0
malisubhani,https://github.com/malisubhani,2221878,2012-08,3,2
irehanali,https://github.com/irehanali,2115677,2012-08,2,3
salishaukat,https://github.com/salishaukat,2181776,2012-08,10,201
mazharmarri,https://github.com/mazharmarri,2091105,2012-08,0,0
Furqankhanzada,https://github.com/Furqankhanzada,2400215,2012-09,48,1542
shaiquddin,https://github.com/shaiquddin,2310709,2012-09,0,0
bahadur,https://github.com/bahadur,2377538,2012-09,11,62
shujaathaider,https://github.com/shujaathaider,2362158,2012-09,6,0
alikazim,https://github.com/alikazim,2402782,2012-09,0,0
mgnventures,https://github.com/mgnventures,2266646,2012-09,4,14
erashid,https://github.com/erashid,2347881,2012-09,0,0
tehseen,https://github.com/tehseen,2385431,2012-09,0,0
asadkhan1992,https://github.com/asadkhan1992,2419793,2012-09,2,1
mahsanq,https://github.com/mahsanq,2446045,2012-09,1,0
sohaibnehal,https://github.com/sohaibnehal,2470950,2012-10,31,133
rehmansaad,https://github.com/rehmansaad,2682311,2012-10,2,3
corefragments,https://github.com/corefragments,2667972,2012-10,32,0
ashersyed,https://github.com/ashersyed,2677498,2012-10,66,905
ayzeetech,https://github.com/ayzeetech,2595997,2012-10,0,0
mshahzadg,https://github.com/mshahzadg,2580520,2012-10,0,0
ahmedrafiq,https://github.com/ahmedrafiq,2509945,2012-10,2,42
jaykumarhk1,https://github.com/jaykumarhk1,2690919,2012-10,1,0
Kabeer007,https://github.com/Kabeer007,2693106,2012-10,1,1
jamshoo,https://github.com/jamshoo,2471427,2012-10,16,5
zmkhan90,https://github.com/zmkhan90,2690212,2012-10,1,3
aarishkhan,https://github.com/aarishkhan,2471000,2012-10,13,21
mzeeshanid,https://github.com/mzeeshanid,2767152,2012-11,39,222
syedhaziqhamdani,https://github.com/syedhaziqhamdani,2767650,2012-11,1,35
pakistancan,https://github.com/pakistancan,2819025,2012-11,21,225
mvaqasuddin,https://github.com/mvaqasuddin,2741058,2012-11,3,28
skarmani2002,https://github.com/skarmani2002,2855261,2012-11,40,208
srladuani,https://github.com/srladuani,2899520,2012-11,23,171
spopalzai,https://github.com/spopalzai,2749494,2012-11,2,2
shaikhhamadali,https://github.com/shaikhhamadali,2796287,2012-11,13,12
tarikhs,https://github.com/tarikhs,2804865,2012-11,11,3
casper123,https://github.com/casper123,2751821,2012-11,36,47
bahrianabid89,https://github.com/bahrianabid89,2880777,2012-11,6,0
mfaheem,https://github.com/mfaheem,2844650,2012-11,4,4
dizyn,https://github.com/dizyn,2766707,2012-11,2,3
fahadhussain1986,https://github.com/fahadhussain1986,2897538,2012-11,5,3
donzai85999,https://github.com/donzai85999,2716835,2012-11,0,0
rizbox,https://github.com/rizbox,2771791,2012-11,6,11
kashif87,https://github.com/kashif87,2790112,2012-11,12,4
jasonbourne501,https://github.com/jasonbourne501,2834563,2012-11,3,3
samadshawn,https://github.com/samadshawn,2893359,2012-11,0,0
muhammad-meraj,https://github.com/muhammad-meraj,3131480,2012-12,8,55
ahsan-abduljabbar,https://github.com/ahsan-abduljabbar,2936260,2012-12,0,0
zohairhemani1,https://github.com/zohairhemani1,3095277,2012-12,21,579
SumeetKK,https://github.com/SumeetKK,3128122,2012-12,11,145
safeerhussain,https://github.com/safeerhussain,3136828,2012-12,5,114
Gulzaman,https://github.com/Gulzaman,3003123,2012-12,0,0
Zuhaib1430,https://github.com/Zuhaib1430,2969809,2012-12,1,0
sajjad037,https://github.com/sajjad037,3012751,2012-12,21,1496
talhaqkhan,https://github.com/talhaqkhan,2978516,2012-12,0,0
shabeepk,https://github.com/shabeepk,2941636,2012-12,26,50
mzainulabedin,https://github.com/mzainulabedin,2978148,2012-12,3,31
ksiddiqui-xx,https://github.com/ksiddiqui-xx,3140993,2012-12,5,4
ImtiazMalik,https://github.com/ImtiazMalik,3159840,2012-12,0,0
buxi07,https://github.com/buxi07,2937645,2012-12,3,1
MohammedTaha,https://github.com/MohammedTaha,3276864,2013-01,38,136
mohuk,https://github.com/mohuk,3163551,2013-01,139,667
azharhussain,https://github.com/azharhussain,3325291,2013-01,26,712
sshamim,https://github.com/sshamim,3235474,2013-01,11,95
MagicRedDeer,https://github.com/MagicRedDeer,3265849,2013-01,40,800
Awesim,https://github.com/Awesim,3333987,2013-01,0,0
